	index	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio
0	4	252.1348448098752	8653351.0	257228.55	-1.620893250550568	2.620218291997351	-0.768273033180243	2.9945054416774597
1	9	254.11224600841427	7830361.0	273636.25	-0.32382498576803936	1.7129614258951968	-0.4278741345852715	1.7631014096860795
2	18	258.1070506328276	15143843.0	289033.25	-0.8856524537076854	2.7147657725726084	-0.9584696079744454	1.556175679537693
3	19	258.12230959563067	74457200.0	291817.9	-0.5827437089059919	4.100057606961029	-0.996193211309639	1.5896836307660827
4	20	259.1063419612399	8283475.5	280889.47	-0.6994359468223973	1.9617517581889226	-0.7982750082482398	1.5241590510994254
5	23	261.12195807459204	37977500.0	295722.12	-0.5831029326861032	3.41345462136786	-0.9798073442395717	1.5099897248384053
6	29	263.1375759647727	22129528.0	288781.12	-0.8086497297543181	3.0440772552640234	-0.9759750746276257	1.8081497226597094
7	36	268.16402950592226	30483748.0	283478.88	-0.6629236824494177	3.2750480011446634	-0.9822242890769188	1.7795007916079817
8	40	269.1592931938162	9176924.0	293163.3	-1.0991161510028646	2.3631206057355665	-0.8965676258143734	1.7820099959402012
9	42	270.1069008626147	14582237.0	287018.8	-0.4902671962797354	2.3976970106170166	-0.9132931509259717	1.3957523979373854
10	44	271.1385247045587	40126684.0	283193.38	-0.4824349889792196	3.413913047642856	-0.9526822166994643	1.4666518782535547
11	46	272.12246057999687	5768678.5	271079.3	-0.6531175618043017	1.654304465287815	-0.805181273437528	1.6688286672820214
12	56	277.1166547652774	34849316.0	284577.6	-0.5183812508377504	3.2915735434375986	-0.9884871460488833	1.4782523302929105
13	57	277.1530245134482	10248776.0	278669.47	-0.4229990304367907	1.9625539137075303	-0.5967132517035171	1.1890616653051973
14	72	283.27803215386507	12451488.0	280522.34	-1.2342651765250294	2.7803333019142933	-0.9767039162185267	1.7383434972073266
15	74	284.1223343432391	8294942.5	275546.28	-0.4865974941720587	1.8681485458661393	-0.41394040443525876	1.4667538876196564
16	80	288.13241004822714	6432124.0	284011.22	-1.1727572070066856	2.0628073978242214	-0.9610553727394803	1.4650888272142373
17	92	297.1538100198003	32826170.0	279402.7	-0.8382910368876803	3.474903388727715	-0.9897480921466714	1.683320330199345
18	96	299.096629990217	10653897.0	277930.12	-0.708807138956509	2.2357403733360295	-0.7573421449451194	1.2119750231747186
19	97	299.1693592079499	6344422.5	263652.84	-0.8502801239072982	1.7930880625117278	-0.7358618169728611	1.7531055203587531
20	101	300.08065312687967	15026072.0	263211.97	-0.7825169951188333	2.674016224139893	-0.9790876612897622	1.989604410426867
21	105	302.09628378275494	15607958.0	271408.84	-0.8165683038800514	2.7093702302488984	-0.959636069249674	1.883886190875921
22	106	302.1327065861101	5540547.5	246878.6	-0.5383025701906724	1.3693402217235178	-0.39688894913393263	1.3058619119222403
23	107	303.25166986928946	261292110.0	271800.88	-0.013927849642229175	4.921264586389316	-0.4519421787903578	1.01494096629353
24	112	306.1427295665515	6839554.0	268324.16	-1.0794225416843046	2.0860304778275474	-0.9560224900274634	1.7530198783623874
25	119	311.13290857038976	11374568.0	262377.6	-1.0232919598529426	2.5503005914090044	-0.9801109844613036	1.9274308601408798
26	120	312.153353267865	7437614.5	278351.22	-1.294038955944673	2.336853452679833	-0.8529088936377027	2.0502109984877794
27	121	314.1689108251255	23196482.0	268208.28	-0.630983779879433	2.981259442520559	-0.9529697392961698	1.6311296966308189
28	126	317.1069712329914	54907788.0	264336.1	-0.549256551255264	3.7617780800791545	-0.9710986641824977	1.4368380242969887
29	129	320.9137555039895	5220588.0	253604.06	-0.859655371321817	1.6918364476983379	-0.7165904639182942	1.874563807660996
30	136	327.16403437552117	7309407.5	244877.64	-0.7674636540868695	1.9203379684192587	-0.6526790481267641	1.4818572101943182
31	138	329.14321402512456	9202446.0	259880.1	-0.5975190919293913	2.0296559757793347	-0.9057626108915064	1.2603281791620737
32	139	329.15850412942586	12261390.0	258108.86	-0.7364325455735992	2.4112387399914907	-0.972955149433849	1.7114479701726992
33	141	329.7932696859035	7161012.0	248487.67	0.42857541949856276	1.0624116895559652	0.288368060579603	1.5497726722086609
34	142	330.16357115926814	18573934.0	256925.42	-0.4558973343120275	2.6122919520894863	-0.7198149119682113	1.7011304761678554
35	143	332.1944257807099	5199197.0	273043.84	-0.33092978161757663	1.2694748740692032	-0.2940237094190703	0.9827587613279422
36	158	341.14302326563853	5129722.0	249773.14	-0.6152225588362414	1.5388488321104665	-0.7212445938215298	1.0234477976718026
37	162	342.17469602043826	15048994.0	251265.22	-0.7432138193906317	2.6376695504157843	-0.821589643303425	1.6320350603964184
38	164	345.15319108677215	5231332.5	269571.8	-0.5999906548242837	1.4651172162866983	-0.6365270696983923	1.1638034151427072
39	165	345.1743616076334	7816481.0	246875.84	-0.913601657205745	2.088007574976312	-0.9271145658574198	1.6412249287103784
40	167	346.13711778830697	19546778.0	256651.48	-0.9033623618528952	2.998729303743917	-0.9878693865758722	1.774623447521681
41	170	348.15281272930076	13829889.0	240786.95	-0.7425250487493521	2.5001205483622964	-0.7456956571611523	1.7787823119274155
42	176	354.1745203313741	21312004.0	249178.9	-0.6679728820857616	2.9257375048331498	-0.9933928197291338	1.8454815325460892
43	184	356.12134218292954	12358961.0	251895.6	-0.7536045785464301	2.4286032651784986	-0.8551549309568519	1.6467072296130194
44	187	359.1686364423538	5077452.5	245179.17	-0.7167609300329807	1.5320444243711806	-0.7098020623709428	1.1459485005455137
45	189	360.1890427996387	34022770.0	250779.11	-0.4337193843908857	3.2051558381275562	-0.8847664355061267	1.2700911432333812
46	193	363.1709303122054	7269510.5	252281.69	-1.3421347611443553	2.2433919392727324	-0.8841276471332031	1.4190389305448288
47	194	364.1474716637099	10103783.0	247237.61	-1.087637849738683	2.4089644915132093	-0.8646598607094629	1.2607580279879549
48	197	369.15282876888955	13383142.0	240228.94	-0.77656561576468	2.549314710057912	-0.9230854512174593	1.9812088581639364
49	204	373.1324522928585	39270890.0	241179.61	-0.420326229932377	3.3531721182592715	-0.9695111643236936	1.6083337519114715
50	205	373.14771454358237	34203150.0	238462.23	-0.41837494317772045	3.218114805744787	-0.9517723859351551	1.6202449572553086
51	206	373.22044471230055	7011874.0	255086.42	-0.8389407346937359	1.9522383388614535	-0.9339740291193037	1.5101516879326564
52	207	376.14732796653186	13413539.0	245716.12	-0.5988309554385558	2.404621565104412	-0.8986429737247446	1.5268065077616195
