	index	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio
0	262	253.62923345116437	5045165.0	272842.3	-1.1591931410830871	1.870882916051103	-0.6577680745853995	1.4154624978051988
1	305	254.148601628579	37110676.0	289723.47	-0.668577230222894	3.4795603912164776	-0.9848396550768292	1.6411665585001718
2	509	257.15948188983606	10169096.0	306451.78	-1.454158709468455	2.739102883480659	-0.9730705933600187	2.277254104861792
3	655	259.1063540893009	18188524.0	296969.16	-1.0546442619655392	3.0441326928574304	-0.989960388285509	2.0686822577216306
4	675	259.3313182428924	12793419.0	300641.94	-1.525356592264208	3.094603748828179	-0.9092420234803107	2.543930847540603
5	871	262.11724235403403	6136480.0	264055.97	-0.5095156718078417	1.5394334651316808	-0.336004377707603	1.6463275689175008
6	1023	264.28473871683013	12404367.0	273989.12	-1.9522938229719535	3.3335685491157454	-0.9870623118927219	4.5370219519144515
7	1242	267.425303678639	5501866.5	311765.7	-2.651230377828857	2.9189104878545002	-0.9167945689804617	2.826416328855106
8	1364	269.15922068172324	10487453.0	271484.62	-1.278634920744488	2.706670727912291	-0.9348751151422587	3.117091439723283
9	1428	270.1796089230977	7259894.0	282254.62	-0.9812248893003886	2.036442843893961	-0.7744747034448023	1.1875687703099582
10	1467	270.7366891705933	14226352.0	278072.94	-2.2051640443899316	3.528932606134487	-0.9721434060566388	2.9248454499974383
11	1949	277.1166752812794	107575900.0	282536.38	-0.8060110989723674	4.633187811820191	-0.9979473300135886	1.8450713096324933
12	2070	279.14351946551494	16654406.0	283956.0	-0.9015997254308927	2.84713191056837	-0.916394595617129	1.7769131404751388
13	2126	280.12752865299547	31641422.0	282840.97	-0.9566037067620455	3.520348642408355	-0.9701434423230534	2.013796608887587
14	2319	283.1019530542388	14229781.0	280372.3	-1.0019733012560892	2.763972272218982	-0.9439309440349942	1.5748370657600748
15	2346	283.52678915271485	5592168.0	233560.1	-0.8762668241192236	1.725987337585357	-0.5457775339495174	2.122099385270575
16	2410	284.54202440044105	12753516.0	280660.66	-2.1264877213029414	3.409820484527505	-0.9800399482097107	3.541358238416835
17	2456	285.1539953443272	65865532.0	279555.44	-0.7910451811854974	4.128954429776847	-0.9938291821478008	1.7907526174247455
18	2522	286.17432164663626	15484776.0	277815.38	-1.0302202673161878	2.848749606971527	-0.9427509930981844	1.9181515532984612
19	2786	290.396015973037	5044026.5	256479.7	-2.771353752704424	2.9079653802913747	-0.958252999818642	2.5091062158785475
20	3091	295.21103655859224	8307001.5	258073.8	-1.3078815639522596	2.48116478493649	-0.867538696975218	2.1217082172072788
