	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Mono m/z	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
39	1410.6685	1	14802618	1412.6786	1411.5753-1415.8250	0.9896	b12	-11.940902527657721	0	1410.6853448562001	1411.6757764666	1411.6750042535773	20803628.0	118665.8125	-0.859440413277063	3.056598093115503	-0.9652221448258129	1.64904303592987	0.011896223305710541	1.230868709914208
40	2822.4092	2	107159960	1412.7133	1412.1031-1415.8250	0.9815	y25	-12.046379001736243	0	2822.443200220501	1412.2118764666	1412.2111182087856	361994272.0	121407.578125	-0.822668234188422	5.877517637042269	-0.9982771108596953	1.909857810314045	0.01163198492234799	1.2121153815908723
41	1443.8061	1	4670446	1444.8137	1444.6804-1449.9358	0.9827	y12	-12.277451566437417	0	1443.8238264771	1444.8133764666	1444.8132582587168	18402640.0	122875.9140625	-0.8031901838645409	2.8806432569817133	-0.9917184231094549	1.6768384077278204	0.011758311376823797	1.1933256485840609
42	2893.445	2	40342252	1448.2312	1447.4371-1451.3677	0.9939	y26	-12.20481087264434	0	2893.480314380001	1447.7297764666	1447.7293307013233	209770896.0	120498.8125	-0.8549475121327282	5.343251679949299	-0.9979325858839712	1.9189335738844822	0.012014469691984088	1.2081544630357368
43	1606.8664	1	28228278	1607.874	1607.7036-1613.0076	0.9783	y13	-12.916752819445648	0	1606.8871557641999	1607.8736764666	1607.8736769047077	43449808.0	113175.3203125	-0.6289124283606163	3.611585090055238	-0.9763994066495754	1.6844755491658352	0.014206928440450114	1.216419710279615
44	1762.9543	1	11585537	1763.9619	1763.8555-1769.0972	0.9618	y15	-12.895316592234817	0	1762.9770341470003	1763.9615764666	1763.9611729773674	35161512.0	107799.015625	-0.8838542681317642	3.585050957753264	-0.9911141892425842	1.9648581927761875	0.016363425609688793	1.2183113301222344
45	1833.9903	1	14482600	1836.0001	1834.6714-1840.3298	0.9521	y16	-13.00333834514527	0	1834.0141483065001	1834.9975764665999	1834.9969584410057	19791758.0	108633.3671875	-0.939379626815661	3.0383137779722436	-0.9632358621854502	1.6875595091901252	0.01689165130335895	1.1962160453871131
46	1905.0256	1	19065472	1906.0332	1905.8500-1911.1517	0.9843	y17	-13.470748271148235	0	1905.0512624660003	1906.0328764665999	1906.0328008801184	39796000.0	101705.9921875	-0.8438030925300061	3.672728450542004	-0.9520316702157914	1.8835516889906072	0.01874061458803974	1.2342015165148077
47	715.3636	2	10985605	358.6891	358.5783-360.8141	0.9735	b6	-7.126983206431466	0	715.3686984207001	358.6890764666	358.6889560846068	9433257.0	256447.234375	-1.2059190229954078	2.463725418517258	-0.9287497738539197	1.5379619163186962	0.0013986852186524258	1.16278034574321
48	743.4485	2	16833058	372.7316	372.6186-374.3377	0.9927	y7	-7.5901734539748	0	743.4541429459	372.7315264666	372.7314958707432	11525375.0	237335.875	-1.1163281870042683	2.6548627229752286	-0.9850224834593445	2.515536103738683	0.0015704810571547313	1.2088100232281906
49	800.4516	2	18545132	401.2331	401.1021-402.8434	0.9842	a7	-7.805247481169024	0	800.4578477716001	401.2330764666	401.2331200143709	12954085.0	242024.640625	-1.2240866933686676	2.8242167956737716	-0.9586167090019453	1.636817872624688	0.0016578192988045922	1.1641942819618714
50	414.2082	1	8696308	415.2155	415.1138-417.3284	0.9827	z4	-7.8509586941901555	0	414.21145195699995	415.21547646659997	415.2155621689303	2602500.5	196952.015625	-0.7820330517495264	0.9520680433752615	-0.40120735184177747	1.7170331847954372	0.002108206716500469	1.3204612380769312
51	1261.7301	3	11455189	421.9182	421.4818-423.0350	0.9818	y12	-7.393093924058777	0	1261.7394281581	421.5839764666	421.583811249499	5706642.5	203481.484375	-1.8091211906361815	2.2911219951093504	-0.8728541135767309	2.3707526824210996	0.0020718534295363893	1.2855226945212617
52	928.5629	2	44383208	465.2887	465.1871-466.9016	0.9993	y9	-8.260464680227392	0	928.5705704244001	465.2887264666	465.288639251933	16842784.0	216695.84375	-1.061074017672191	2.969006718625114	-0.9931935500124722	1.8416506662869094	0.00214719687835237	1.1928396955049236
53	943.4717	2	48568312	472.7431	472.6385-474.3571	0.9977	b8	-8.486595992661412	0	943.4797069311	472.7431264666	472.7430086763459	23645288.0	213959.078125	-1.2132207143990317	3.40091249333483	-0.9961271555704805	2.1896406456852864	0.0022095019889745372	1.1966310712404218
54	474.2221	1	61025840	475.2294	475.1288-477.3375	0.9991	b4	-8.341622210610192	0	474.22605581460004	475.2293764666	475.2293070170987	33345852.0	209000.0625	-0.7654643042258066	3.4532498734677026	-0.9819769033146842	1.8318655637264765	0.002273823755517292	1.2133598284952425
55	1429.8173	3	453979936	477.6131	477.5124-479.0530	0.9985	y14	-8.397184786428229	0	1429.8293065409	477.6130431332666	477.6129380205957	216159152.0	209857.625	-0.9884790744063032	5.472403555578647	-0.9991929862586193	2.1078107171708367	0.002275890323358971	1.2080356158404049
56	1014.5442	2	21961164	508.2794	508.1635-509.8841	0.9952	a9	-8.877028966896358	0	1014.5532062182001	508.2793764666	508.2792549135877	7419296.5	196899.640625	-0.8677930539924276	2.066301950422743	-0.9500645039279827	2.333256944955071	0.0025814128116242604	1.234583715651255
57	1015.5939	2	158138480	508.8043	508.7021-510.4191	0.9959	y10	-8.565933076161194	0	1015.6025995839	508.80422646659997	508.80404701841223	85890384.0	200505.84375	-0.8389407429587027	4.442142606786342	-0.9830852009242843	2.0064753340056005	0.002537602084320359	1.219317784382915
58	1042.5389	2	33006878	522.2767	522.1730-523.8877	0.9971	b9	-8.844884962535167	0	1042.5481212182	522.2767264666	522.2767582392044	22562462.0	211177.09375	-0.9092186187299219	3.148840190129425	-0.9375542315280484	1.6429075545504632	0.0024731695515115702	1.167672599600887
59	1114.6609	2	140624464	558.3378	558.2354-560.4570	0.9936	y11	-9.073413477226126	0	1114.671013871	558.3377264666001	558.3377308093754	60467572.0	192860.59375	-0.7384618594304793	4.021244800892142	-0.9942382663512341	1.8196171144491384	0.002895032727800961	1.213165290484656
60	559.328	1	76167984	560.3353	560.2286-562.4427	0.9995	y5	-8.87563547220007	0	559.3329644354999	560.3352764666	560.3351264147244	30377188.0	196031.65625	-0.973884655273633	3.505257890641649	-0.9956863853087372	1.8602564901812046	0.0028583910228260614	1.1986201698093273
61	585.3065	1	10074457	586.3138	586.2117-589.4338	0.9997	x5	-9.788573367133973	0	585.3122293716999	586.3137764666001	586.3142077066391	5095347.5	179338.9375	-0.39300095784418987	1.3489093286104061	-0.6402829863809478	1.1931504311065277	0.003269307914276224	1.2528081804168774
62	602.279	1	57173748	603.2863	603.1782-606.4195	0.9976	b5	-9.354496995873566	0	602.2846340698001	603.2862764666	603.2863921162495	33048838.0	190146.546875	-0.8540426160332953	3.517136107039575	-0.9629329326538866	1.9133819016527824	0.0031727444017841805	1.193470928430875
63	1261.7278	2	380631680	631.8712	631.7634-633.9807	0.9932	y12	-9.215974265891589	0	1261.7394281581	631.8711764666	631.8710647643425	124016504.0	183665.734375	-0.8301640698156039	4.8087085743350055	-0.997993646505514	1.848473634573877	0.0034403317903284997	1.2026743705672076
64	4574.4924	7	12726537	654.7927	654.3748-655.9053	0.9848	y43	-8.441678121638816	0	4574.531016718401	654.5061907523143	654.5115119680349	1047400.625	113088.3984375	-0.9801305503515898	0.2711988905888866	-0.2650716273186119	1.4493044689235903	0.005787609701889629	1.6422657907040124
65	1969.1169	3	19153022	657.3797	657.2664-659.1522	0.9199	y20	-9.728047355241273	0	1969.1360558488002	657.3795764666	657.3796412826239	24589518.0	175440.828125	-1.4266388525041822	3.6188241273480797	-0.9961852143238488	3.27454250781046	0.003747016292092778	1.22371787473177
66	1332.7639	2	204665984	667.3893	667.2479-669.4969	0.9993	y13	-9.485699364146678	0	1332.7765423176	667.3892264666	667.3890877872961	81512944.0	174802.390625	-0.7934772506086795	4.3595791647117315	-0.9920506623727252	1.961390724863431	0.0038179631605784635	1.2205306150949193
67	672.4106	1	107474952	673.418	673.3165-676.5317	0.995	y6	-9.560713254770544	0	672.4170287863999	673.4178764666001	673.4178266980805	43558692.0	178751.78125	-0.830166890561485	3.7593331003194117	-0.9939516249641379	1.7936418397289142	0.0037673349154280413	1.1988878380477905
68	4778.5771	7	134667040	683.9476	683.5567-685.0641	0.9678	y45	-9.164799250945451	0	4778.6208951012	683.6611478951716	683.660750350536	34893508.0	171180.1875	-2.553858328252314	4.685169704472335	-0.9908478484192095	6.374386317590014	0.003993807696644426	1.227786268279797
69	4877.6465	7	144320432	698.1004	697.7117-699.2043	0.9291	y46	-8.77657136090228	0	4877.6893093883	697.8139193237429	697.8132234829234	85388376.0	168436.171875	-2.7174122339487954	5.685442797721716	-0.9974163229584249	6.709860586218335	0.004142894104722263	1.2326344037505736
70	1429.8152	2	1749168896	715.915	715.8130-718.5363	0.9955	y14	-9.865891568644077	0	1429.8293065409	715.9148764666	715.9148498343486	1058677888.0	172398.359375	-0.9901631489396066	7.066531535058912	-0.9997414319992286	2.127772390387777	0.004152677858593158	1.20335836357559
71	715.3618	1	143676336	716.3691	716.2492-719.4796	0.9991	b6	-9.643168222601059	0	715.3686984207001	716.3690764666001	716.3690326254705	103271064.0	171543.984375	-0.8206163367285473	4.608962015408483	-0.9961413523073681	1.8468450275823307	0.004176007892293486	1.2070949450910688
72	2210.2953	3	87483336	738.1066	737.6102-739.8859	0.9945	y22	-8.950571186485375	0	2210.3150835825004	737.7723764666001	737.7717276080981	100517456.0	168336.734375	-1.0167666560812638	4.739495266715777	-0.9936938550999488	2.4081712947246294	0.004382713792965595	1.2104384042233223
73	743.447	1	238527040	744.4543	744.3377-747.5677	0.9988	y7	-9.607782763435171	0	743.4541429459	744.4542764666	744.4541144254788	104959208.0	168850.890625	-0.7774900231280512	4.593159828223113	-0.9996947835053547	1.8072610044312212	0.004408943960377637	1.2043542263060099
74	3012.5887	4	74740360	754.4052	754.0424-756.0170	0.9675	b28	-9.245420720376734	0	3012.6165529075006	754.1544514666	754.1540882072875	94450144.0	164786.859375	-1.4973060695525988	5.013534351249038	-0.9990776815381393	3.428751048235956	0.004576542638579475	1.2188014486294523
75	4574.4863	6	127229672	763.9229	763.3111-765.0342	0.9749	y43	-9.775148149106473	0	4574.531016718401	763.4216597999333	763.4214946308316	115620272.0	160065.328125	-2.170942870883943	5.65225485389988	-0.995583986533025	5.825950743853828	0.004769436976599029	1.237600682242992
76	1528.8834	2	100393064	765.9502	765.3410-768.0745	0.9919	y15	-9.366766530565137	0	1528.897720828	765.4489764666	765.4486100107873	84604216.0	164132.0	-0.933665857974438	4.497702141284756	-0.9997787622371338	2.13689190648207	0.004663615931145586	1.2159992576793974
77	3097.6751	4	36670664	775.6768	775.3207-777.3746	0.9749	a29	-9.879007672723315	0	3097.7057022584004	775.4260514666	775.4262201813142	49657356.0	165163.765625	-1.2291358913733963	4.171231325235107	-0.9830365079504355	2.440429127439062	0.004694893079284103	1.2057130427564322
78	3125.6707	4	91191096	782.6757	782.3224-784.2886	0.9341	b29	-9.571376809182237	0	3125.7006172584006	782.4249514666001	782.4247162251079	95697952.0	161422.03125	-1.5818265414022918	5.075361507669187	-0.9980492767404558	3.3953922348964163	0.004847075149322952	1.2206101799003048
79	4721.5565	6	97768936	788.2676	787.8096-789.5682	0.9801	y44	-9.092470915397978	0	4721.5994310055	787.9333597999333	787.9327335343029	162488880.0	159831.078125	-2.400290956719476	6.13619203898264	-0.9970922604028662	5.7160090949962195	0.004929784262095009	1.2258256082316867
80	4778.5751	6	1124227840	797.9377	797.3290-799.0403	0.9885	y45	-9.583330045563988	0	4778.6208951012	797.4364597999333	797.4360339249305	1541206528.0	159020.015625	-2.105981603213146	8.195097611739824	-0.9998765411519065	5.155049287256474	0.005014689696707358	1.2250831946323166
