	m/z	Intensity	resolution	issues	cluster	number	rest	intensity	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Spectrum	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
0	756.0792468321883	8317598.0	173042.02	False	890	1	-0.0006437032351305216	8317598.0	2264.2132	3	25585788	756.0792	755.6371-757.8602	0.9787	y20	-9.968159586856826	0	2264.2357702635004	0	-0.9471890436267045	2.1913001146682065	-0.8713700417605338	1.7437671619356958	0.004369339111668062	1.178725199525855
1	756.4139275292415	4371488.0	171523.19	False	890	2	4.358792400482869e-05	4371488.0	2264.2132	3	25585788	756.0792	755.6371-757.8602	0.9787	y20	-9.968159586856826	0	2264.2357702635004	0	-1.4467392056328192	1.9103329320430111	-0.8634146856663601	2.364783469648907	0.004409980589529573	1.1854977063534557
2	765.4580341837352	5630030.5	168222.11	False	904	0	5.771713517788157e-05	5630030.5	764.4507	1	8704498	765.458	765.3219-768.5791	0.9515	y6	-10.201880168995647	0	764.4584989140001	0	-0.5973058315969345	1.5621747527397574	-0.8615867948520143	1.3848526891902473	0.004550281987472761	1.196205232766245
3	774.9215778601157	3649190.2	109441.305	False	920	2	-0.0017012389059583022	3649190.2	4641.4808	6	27567344	775.0887	774.4813-776.2106	0.95	b41	-11.244260895233632	0	4641.5329906079005	0	-3.1393912431472257	2.721750300106474	-0.9044502043524472	3.4273067351499376	0.0070807048588541225	1.5866530867755126
4	775.2576475968822	5025868.0	143894.11	False	920	4	0.00800758169275273	5025868.0	4641.4808	6	27567344	775.0887	774.4813-776.2106	0.95	b41	-11.244260895233632	0	4641.5329906079005	0	-2.667583081552436	2.802389004005535	-0.9475952689519405	3.8256977271365322	0.005387695514181865	1.3218615041899175
5	882.4865431856308	3708839.0	159182.69	False	1105	0	-0.0011665619385894388	3708839.0	1762.9597	2	17950380	882.9883	882.3857-885.0975	0.9525	y15	-9.83231582965173	0	1762.9770341470003	0	-1.3672966594608464	1.6453952182443556	-0.9281432743907296	2.1031990982966904	0.005543860058183971	1.1835753331298169
6	882.9883359557136	6280944.5	147746.89	False	1105	1	-0.0009358217729305007	6280944.5	1762.9597	2	17950380	882.9883	882.3857-885.0975	0.9525	y15	-9.83231582965173	0	1762.9770341470003	0	-0.8358144309883202	1.871826650831578	-0.8588305596324493	2.674015634339074	0.005976358163752142	1.2436449978726574
7	929.3031137749092	1712665.8	102896.17	False	1185	0	-0.004713458454716601	1712665.8	4641.4839	5	114864608	929.7051	929.1788-931.2130	0.9422	b41	-10.576378106039462	0	4641.5329906079005	0	-2.37162958845651	1.854828084162079	-0.8707545627127727	1.7464742707705396	0.009031464405729711	1.5560722296743152
8	929.5045460287322	8510075.0	127937.44	False	1185	1	-0.0009069893393307549	8510075.0	4641.4839	5	114864608	929.7051	929.1788-931.2130	0.9422	b41	-10.576378106039462	0	4641.5329906079005	0	-2.7245481771020237	3.372246074070616	-0.9694263638657566	7.534186903136059	0.007265305325727915	1.3456715077291577
9	929.7051568754439	25440114.0	152195.03	False	1185	2	-0.0012075557812987192	25440114.0	4641.4839	5	114864608	929.7051	929.1788-931.2130	0.9422	b41	-10.576378106039462	0	4641.5329906079005	0	-1.766894369007376	3.8559909077463947	-0.995278102612238	2.7613319621137915	0.006108643293014494	1.1985172420273316
